"Инструмент","Открывающее направление","Время закрытия (UTC+3)","Цена входа","Цена закрытия","Закрываемое кол-во","Закрываемый объем","Чистая прибыль $","Баланс $"
"EURUSD","Sell","01/05/2026 09:45:47.396","1.17267","1.17265","0.40 Лоты","","-1.20","10 624.86"
"XAUUSD","Sell","01/05/2026 09:34:02.087","4602.94","4594.55","0.05 Лоты","","41.63","10 626.06"
"UKOIL.cash","Buy","30/04/2026 23:35:11.813","115.526","117.065","0.30 Лоты","","46.17","10 584.43"
"XAUUSD","Sell","30/04/2026 23:35:10.468","4610.03","4618.62","0.04 Лоты","","-34.62","10 538.26"
"XAUUSD","Sell","30/04/2026 19:34:39.141","4614.88","4613.91","0.05 Лоты","","4.53","10 572.88"
"UKOIL.cash","Buy","30/04/2026 19:08:49.083","115.421","115.446","0.20 Лоты","","0.50","10 568.35"
"XAUUSD","Buy","30/04/2026 11:19:17.261","4618.76","4614.76","0.05 Лоты","","-20.32","10 567.85"
"XAUUSD","Sell","30/04/2026 11:04:37.053","4581.49","4621.56","0.03 Лоты","","-120.41","10 588.17"
"XAUUSD","Buy","30/04/2026 04:28:28.349","4543.95","4577.69","0.02 Лоты","","63.07","10 708.58"
"XAGUSD","Buy","29/04/2026 22:32:54.745","71.772","71.520","0.02 Лоты","","-25.30","10 645.51"
"GER40.cash","Sell","29/04/2026 19:34:10.572","23937.81","23839.70","1.00 Лоты","","114.69","10 670.81"
"GBPUSD","Sell","29/04/2026 18:34:05.287","1.34932","1.34915","0.30 Лоты","","3.60","10 556.12"
"GER40.cash","Sell","29/04/2026 18:17:11.014","23991.11","23935.20","1.00 Лоты","","65.39","10 552.52"
"GER40.cash","Buy","29/04/2026 16:35:00.528","24018.50","23936.61","0.50 Лоты","","-47.84","10 487.13"
"XAUUSD","Buy","29/04/2026 15:24:36.611","4562.72","4563.16","0.03 Лоты","","1.12","10 534.97"
"ETHUSD","Buy","29/04/2026 15:22:22.086","2297.60","2312.23","0.10 Лоты","","11.24","10 533.85"
"GER40.cash","Sell","29/04/2026 12:00:04.193","23962.61","23947.50","0.50 Лоты","","8.84","10 522.61"
"UKOIL.cash","Buy","29/04/2026 10:47:33.001","110.102","112.139","0.20 Лоты","","40.74","10 513.77"
"XAUUSD","Sell","29/04/2026 10:41:36.530","4573.86","4574.08","0.03 Лоты","","-0.86","10 473.03"
"GER40.cash","Sell","29/04/2026 10:04:25.621","24090.61","24085.50","0.50 Лоты","","2.99","10 473.89"
"GER40.cash","Sell","29/04/2026 09:07:17.925","24096.41","24121.00","1.00 Лоты","","-28.78","10 470.90"
"UKOIL.cash","Buy","29/04/2026 08:00:50.127","110.130","110.247","0.01 Лоты","","0.12","10 499.68"
"US100.cash","Buy","29/04/2026 07:03:49.345","27069.74","27154.95","1.00 Лоты","","79.23","10 499.56"
"XAUUSD","Buy","29/04/2026 02:10:44.848","4584.16","4589.60","0.05 Лоты","","23.32","10 420.33"
"XAUUSD","Buy","28/04/2026 19:30:51.481","4565.36","4583.31","0.02 Лоты","","35.78","10 397.01"
"EURUSD","Sell","28/04/2026 19:06:08.583","1.16913","1.17163","0.10 Лоты","","-25.50","10 361.23"
"GER40.cash","Sell","28/04/2026 17:59:56.848","24042.21","24023.60","0.50 Лоты","","10.89","10 386.73"
"XAUUSD","Buy","28/04/2026 16:53:49.952","4584.12","4581.25","0.03 Лоты","","-8.81","10 375.84"
"GER40.cash","Sell","28/04/2026 16:33:16.518","24052.71","24050.60","0.50 Лоты","","1.23","10 384.65"
"GER40.cash","Sell","28/04/2026 15:06:38.117","23988.21","23982.60","0.30 Лоты","","1.97","10 383.42"
"GER40.cash","Sell","28/04/2026 14:31:47.853","24043.21","24006.10","1.00 Лоты","","43.39","10 381.45"
"GER40.cash","Sell","28/04/2026 14:26:48.080","24073.71","24043.10","0.10 Лоты","","3.58","10 338.06"
"EURUSD","Sell","28/04/2026 12:47:08.237","1.16990","1.16956","0.20 Лоты","","5.80","10 334.48"
"USDJPY","Buy","28/04/2026 09:18:27.633","159.172","159.245","0.01 Лоты","","0.40","10 328.68"
"USDJPY","Buy","28/04/2026 08:45:56.544","159.159","159.168","1.00 Лоты","","0.65","10 328.28"
"XAUUSD","Sell","28/04/2026 08:35:19.953","4675.26","4640.92","0.05 Лоты","","171.92","10 327.63"
"GBPUSD","Sell","28/04/2026 08:08:07.190","1.35300","1.35272","0.05 Лоты","","0.86","10 155.71"
"XAUUSD","Sell","27/04/2026 19:31:55.945","4678.86","4678.54","0.05 Лоты","","1.28","10 154.85"
"XAUUSD","Sell","27/04/2026 18:23:19.250","4710.59","4673.14","0.05 Лоты","","186.93","10 153.57"
"ETHUSD","Buy","27/04/2026 18:17:51.973","2318.01","2286.14","0.10 Лоты","","-33.36","9 966.64"
