"Инструмент","Открывающее направление","Время закрытия (UTC+3)","Цена входа","Цена закрытия","Закрываемое кол-во","Закрываемый объем","Чистая прибыль $","Баланс $"
"ETHUSD","Buy","01/05/2026 18:50:30.862","2307.03","2308.21","0.40 Лоты","","-1.28","10 650.26"
"BTCUSD","Buy","01/05/2026 17:25:13.668","78474.15","78276.89","0.01 Лоты","","-2.48","10 651.54"
"ETHUSD","Buy","01/05/2026 17:25:10.469","2314.86","2308.39","0.20 Лоты","","-15.94","10 654.02"
"ETHUSD","Buy","01/05/2026 17:25:10.209","2308.13","2308.72","0.20 Лоты","","-1.82","10 669.96"
"XAUUSD","Sell","01/05/2026 17:01:41.700","4622.61","4637.84","0.03 Лоты","","-45.89","10 671.78"
"USDJPY","Buy","01/05/2026 16:35:23.102","156.602","156.526","1.00 Лоты","","-53.55","10 717.67"
"XAUUSD","Sell","01/05/2026 16:18:01.413","4602.41","4591.70","0.02 Лоты","","21.30","10 771.22"
"XAUUSD","Buy","01/05/2026 15:26:07.345","4585.55","4602.89","0.20 Лоты","","345.52","10 749.92"
"USDJPY","Buy","01/05/2026 15:14:05.836","156.542","156.512","1.00 Лоты","","-24.17","10 404.40"
"USDJPY","Buy","01/05/2026 14:26:36.002","156.298","156.469","0.50 Лоты","","52.14","10 428.57"
"XAUUSD","Buy","01/05/2026 13:37:07.940","4565.46","4568.74","0.05 Лоты","","16.08","10 376.43"
"USDJPY","Buy","01/05/2026 11:22:59.853","156.331","156.340","0.50 Лоты","","0.38","10 360.35"
"UKOIL.cash","Buy","01/05/2026 10:20:57.749","117.523","115.818","0.30 Лоты","","-51.15","10 359.97"
"USDJPY","Buy","01/05/2026 10:17:47.101","155.971","156.302","0.50 Лоты","","103.38","10 411.12"
"USDJPY","Buy","01/05/2026 10:02:43.195","155.791","155.914","1.00 Лоты","","73.89","10 307.74"
"USDJPY","Buy","01/05/2026 09:48:07.354","156.996","155.939","0.50 Лоты","","-341.41","10 233.85"
"GBPUSD","Sell","01/05/2026 09:47:58.658","1.35968","1.36087","0.40 Лоты","","-49.60","10 575.26"
