"Инструмент","Открывающее направление","Время закрытия (UTC+3)","Цена входа","Цена закрытия","Закрываемое кол-во","Закрываемый объем","Чистая прибыль $","Баланс $"
"XAUUSD","Buy","05/05/2026 08:13:35.538","4539.84","4539.82","0.05 Лоты","","-0.42","9 552.68"
"XAUUSD","Buy","05/05/2026 08:06:38.550","4526.88","4536.49","0.01 Лоты","","8.81","9 553.10"
"USDCAD","Buy","04/05/2026 21:59:17.085","1.36160","1.36060","1.00 Лоты","","-78.50","9 544.29"
"USDJPY","Buy","04/05/2026 21:44:18.436","157.262","157.195","0.50 Лоты","","-23.81","9 622.79"
"GER40.cash","Buy","04/05/2026 21:15:22.885","23967.10","23928.21","0.50 Лоты","","-22.74","9 646.60"
"EURUSD","Sell","04/05/2026 17:01:44.791","1.17158","1.17138","0.20 Лоты","","3.00","9 669.34"
"USDCAD","Buy","04/05/2026 16:44:48.432","1.36051","1.36155","0.50 Лоты","","35.69","9 666.34"
"USDJPY","Buy","04/05/2026 16:39:40.516","157.119","156.976","0.20 Лоты","","-19.22","9 630.65"
"GER40.cash","Sell","04/05/2026 16:32:52.579","24201.21","24200.60","1.00 Лоты","","0.71","9 649.87"
"USDCAD","Buy","04/05/2026 16:10:01.370","1.36055","1.36090","0.50 Лоты","","10.36","9 649.16"
"GBPUSD","Sell","04/05/2026 14:01:30.591","1.35520","1.35511","0.20 Лоты","","0.80","9 638.80"
"USDCAD","Buy","04/05/2026 13:32:06.698","1.36016","1.36070","1.00 Лоты","","34.69","9 638.00"
"USDJPY","Buy","04/05/2026 13:32:04.648","157.190","157.004","0.50 Лоты","","-61.73","9 603.31"
"XAUUSD","Buy","04/05/2026 13:02:17.104","4610.26","4567.49","0.04 Лоты","","-171.34","9 665.04"
"GER40.cash","Sell","04/05/2026 11:55:21.908","24294.21","24294.60","0.50 Лоты","","-0.23","9 836.38"
"GER40.cash","Sell","04/05/2026 11:55:20.087","24299.21","24292.10","1.50 Лоты","","12.50","9 836.61"
"GER40.cash","Sell","04/05/2026 11:23:30.183","24301.21","24297.60","2.00 Лоты","","8.46","9 824.11"
"XAUUSD","Buy","04/05/2026 11:00:01.687","4588.40","4577.61","0.02 Лоты","","-21.70","9 815.65"
"EURUSD","Buy","04/05/2026 09:42:31.806","1.17370","1.17293","0.20 Лоты","","-16.40","9 837.35"
"EURUSD","Buy","04/05/2026 09:42:29.990","1.17287","1.17294","0.20 Лоты","","0.40","9 853.75"
"USDJPY","Buy","04/05/2026 06:45:08.261","157.237","156.785","0.50 Лоты","","-146.65","9 853.35"
