"Инструмент","Открывающее направление","Время закрытия (UTC+3)","Цена входа","Цена закрытия","Закрываемое кол-во","Закрываемый объем","Чистая прибыль $","Баланс $"
"GBPUSD","Buy","07/05/2026 10:08:47.448","1.35983","1.36156","0.50 Лоты","","84.00","10 511.11"
"UKOIL.cash","Sell","07/05/2026 10:08:45.695","105.574","103.629","0.50 Лоты","","97.25","10 427.11"
"XAUUSD","Buy","07/05/2026 09:35:00.605","4708.14","4733.01","0.10 Лоты","","248.04","10 329.86"
"UKOIL.cash","Sell","07/05/2026 09:11:27.179","105.564","105.659","0.05 Лоты","","-0.48","10 081.82"
"DASHUSD","Buy","07/05/2026 09:07:06.516","51.02","51.03","0.10 Лоты","","-2.32","10 082.30"
"ADAUSD","Buy","07/05/2026 04:07:10.905","0.2663","0.2638","0.10 Лоты","","-28.91","10 084.62"
"ALGUSD","Buy","07/05/2026 02:01:39.705","0.1202","0.1183","0.10 Лоты","","-20.75","10 113.53"
"DASHUSD","Buy","07/05/2026 00:59:05.981","54.67","54.35","0.10 Лоты","","-40.07","10 134.28"
"ADAUSD","Buy","06/05/2026 23:38:37.264","0.2664","0.2660","0.01 Лоты","","-0.58","10 174.35"
"UKOIL.cash","Sell","06/05/2026 23:25:00.977","105.052","106.148","1.00 Лоты","","-109.60","10 174.93"
"USDJPY","Sell","06/05/2026 19:47:05.434","156.435","156.458","0.30 Лоты","","-5.91","10 284.53"
"UKOIL.cash","Sell","06/05/2026 19:44:44.570","106.107","106.087","1.00 Лоты","","2.00","10 290.44"
"XAUUSD","Sell","06/05/2026 19:28:56.648","4690.88","4688.29","0.05 Лоты","","12.63","10 288.44"
"ALGUSD","Buy","06/05/2026 19:17:12.680","0.1202","0.1199","0.01 Лоты","","-0.38","10 275.81"
"UKOIL.cash","Sell","06/05/2026 18:59:33.817","106.192","106.627","0.60 Лоты","","-26.10","10 276.19"
"DASHUSD","Buy","06/05/2026 18:57:55.923","55.05","55.10","0.10 Лоты","","1.42","10 302.29"
"USDJPY","Sell","06/05/2026 17:14:31.012","155.821","156.204","0.50 Лоты","","-125.10","10 300.87"
"XAUUSD","Buy","06/05/2026 17:02:08.191","4689.26","4708.09","0.10 Лоты","","187.64","10 425.97"
"USDJPY","Sell","06/05/2026 16:04:53.246","156.211","156.268","0.50 Лоты","","-20.74","10 238.33"
"XAUUSD","Buy","06/05/2026 15:57:52.628","4677.09","4677.25","0.05 Лоты","","0.48","10 259.07"
"XAUUSD","Buy","06/05/2026 15:15:12.298","4678.98","4665.17","0.02 Лоты","","-27.76","10 258.59"
"XAUUSD","Buy","06/05/2026 15:15:12.184","4714.51","4665.17","0.02 Лоты","","-98.82","10 286.35"
"USDJPY","Sell","06/05/2026 14:05:03.881","155.839","155.818","0.30 Лоты","","2.54","10 385.17"
"XAUUSD","Sell","06/05/2026 13:44:43.891","4708.34","4715.73","0.02 Лоты","","-14.92","10 382.63"
"DASHUSD","Buy","06/05/2026 13:24:59.880","53.97","55.84","0.10 Лоты","","183.44","10 397.55"
"US100.cash","Buy","06/05/2026 11:53:18.220","28247.45","28331.05","2.00 Лоты","","167.20","10 214.11"
"UKOIL.cash","Sell","06/05/2026 11:51:32.107","112.268","108.107","1.00 Лоты","","416.10","10 046.91"
"XAUUSD","Buy","06/05/2026 11:47:31.646","4677.94","4678.28","0.05 Лоты","","1.38","9 630.81"
"US100.cash","Buy","06/05/2026 09:42:07.882","28226.25","28190.75","2.00 Лоты","","-71.00","9 629.43"
"UKOIL.cash","Buy","06/05/2026 03:05:00.153","115.30625","112.837","0.40 Лоты","","-96.21","9 700.43"
"UKOIL.cash","Buy","06/05/2026 03:05:00.145","116.080","112.842","0.30 Лоты","","-95.22","9 796.64"
"XAUUSD","Sell","06/05/2026 01:54:57.756","4555.97","4559.19","0.10 Лоты","","-32.96","9 891.86"
"XAUUSD","Sell","05/05/2026 23:13:37.044","4557.55","4557.42","0.05 Лоты","","0.33","9 924.82"
"UKOIL.cash","Buy","05/05/2026 18:30:12.016","115.710","114.980","0.20 Лоты","","-14.60","9 924.49"
"UKOIL.cash","Buy","05/05/2026 17:15:45.130","116.040","116.140","0.01 Лоты","","0.10","9 939.09"
"ETHUSD","Buy","05/05/2026 16:40:05.843","2382.30","2384.05","0.10 Лоты","","0.21","9 938.99"
"GER40.cash","Sell","05/05/2026 15:55:04.908","24322.31","24316.10","0.50 Лоты","","3.63","9 938.78"
"XAUUSD","Buy","05/05/2026 15:48:29.265","4573.20","4564.04","0.03 Лоты","","-27.68","9 935.15"
"XAUUSD","Buy","05/05/2026 15:25:29.462","4552.48","4573.67","0.10 Лоты","","211.26","9 962.83"
"XAUUSD","Buy","05/05/2026 13:31:19.960","4551.21","4546.51","0.07 Лоты","","-33.34","9 751.57"
"XAUUSD","Buy","05/05/2026 13:29:18.906","4551.76","4546.80","0.03 Лоты","","-15.08","9 784.91"
"XAUUSD","Buy","05/05/2026 11:38:46.186","4548.46","4548.65","0.03 Лоты","","0.37","9 799.99"
"ETHUSD","Buy","05/05/2026 11:29:17.238","2385.09","2375.98","0.20 Лоты","","-21.31","9 799.62"
"GBPUSD","Buy","05/05/2026 10:48:52.659","1.35373","1.35379","0.50 Лоты","","0.50","9 820.93"
"GER40.cash","Buy","05/05/2026 10:23:43.022","23937.60","24082.21","1.00 Лоты","","169.06","9 820.43"
"GER40.cash","Buy","05/05/2026 10:21:40.439","23941.60","24083.71","1.00 Лоты","","166.12","9 651.37"
"GER40.cash","Buy","05/05/2026 09:24:32.868","23932.80","23922.71","1.00 Лоты","","-11.79","9 485.25"
"XAUUSD","Buy","05/05/2026 09:22:21.906","4541.03","4535.53","0.10 Лоты","","-55.64","9 497.04"
